School,Margin_Of_Victory
Southern Illinois,-6.451612903
Southern Methodist,-0.40625
Southern Mississippi,6.294117647
Southern Utah,-2.193548387
Southern,-3.290322581
St. Bonaventure,5.40625
St. Francis (NY),0.733333333
St. John's (NY),-4.34375
Stanford,8.648648649
Stephen F. Austin,7.15625
Stetson,-6.413793103
Stony Brook,7.28125
Syracuse,13.10810811
Temple,5.5
Tennessee-Martin,-12.38709677
Tennessee State,1.545454545
Tennessee Tech,0.242424242
Tennessee,3.588235294
Texas A&M-Corpus Christi,-9.166666667
Texas A&M,-0.375
Texas-Arlington,9.242424242
Texas Christian,0.090909091
Texas-El Paso,0.0625
Texas-Pan American,-6.28125
Texas-San Antonio,5.34375
Texas Southern,-1.575757576
Texas State,1.633333333
Texas Tech,-8.709677419
Texas,5.882352941
Toledo,3.194444444
Towson,-18.25
Troy,-4.5
Tulane,2.967741935
Tulsa,2.967741935
UCLA,6.060606061
Utah State,4.081081081
Utah Valley,3.484848485
Utah,-14.22580645
Valparaiso,2.941176471
Vanderbilt,7.666666667
Vermont,6.166666667
Villanova,0.25
Virginia Commonwealth,8.166666667
VMI,-0.878787879
Virginia Tech,2.727272727
Virginia,8.28125
Wagner,9.096774194
Wake Forest,-4.935483871
Washington State,2.702702703
Washington,5.514285714
Weber State,8.21875
West Virginia,4.606060606
Western Carolina,1.257142857
Western Illinois,1.393939394
Western Kentucky,-3.171428571
Western Michigan,-1.264705882
Wichita State,14.6969697
William & Mary,-9.03125
Winthrop,-2.40625
Wisconsin,10.80555556
Wofford,0.696969697
Wright State,-3.4375
Wyoming,6.454545455
Xavier,3.361111111
Yale,3.896551724
Youngstown State,1.548387097
