,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Margin_Of_Victory,TRB/G,AST/G,TOV/G,PF/G,STL/G,BLK/G
1,Air Force,32,18,14,0.563,4.18,4.28,8,8,13,2,3,11,2241,2170,,795,1690,0.47,272,712,0.382,379,531,0.714,240,964,508,206,55,380,557,2.21875,30.125,15.875,11.875,17.40625,6.4375,1.71875
2,Akron,33,26,7,0.788,8.11,0.18,14,2,15,1,7,4,2369,2071,,852,1874,0.455,229,689,0.332,436,678,0.643,425,1243,485,231,189,458,577,9.03030303,37.66666667,14.6969697,13.87878788,17.48484848,7,5.727272727
3,Alabama A&M,31,11,20,0.355,-18.4,-9.82,6,12,7,6,3,12,1957,2160,,696,1746,0.399,155,528,0.294,410,651,0.63,377,1115,367,182,102,444,550,-6.548387097,35.96774194,11.83870968,14.32258065,17.74193548,5.870967742,3.290322581
4,Alabama-Birmingham,33,16,17,0.485,0.26,1.51,7,9,11,4,4,10,2357,2351,,857,1980,0.433,219,655,0.334,424,586,0.724,408,1212,529,269,85,510,621,0.181818182,36.72727273,16.03030303,15.45454545,18.81818182,8.151515152,2.575757576
5,Alabama State,32,10,22,0.313,-17.88,-9.01,8,10,7,5,3,14,1979,2231,,734,1800,0.408,168,557,0.302,343,575,0.597,396,1136,371,202,103,479,598,-7.875,35.5,11.59375,14.96875,18.6875,6.3125,3.21875
6,Alabama,36,23,13,0.639,9.79,5.93,12,6,16,4,4,8,2268,2102,,808,1887,0.428,197,588,0.335,455,648,0.702,381,1178,380,294,160,451,619,4.611111111,32.72222222,10.55555556,12.52777778,17.19444444,8.166666667,4.444444444
7,Albany (NY),35,24,11,0.686,-0.87,-4.53,9,7,11,4,11,5,2251,2123,,761,1748,0.435,213,575,0.37,516,700,0.737,345,1168,394,192,71,468,564,3.657142857,33.37142857,11.25714286,13.37142857,16.11428571,5.485714286,2.028571429
8,Alcorn State,34,10,24,0.294,-14.26,-7.11,8,10,5,8,4,14,2055,2248,,726,1888,0.385,165,562,0.294,438,705,0.621,342,1107,308,221,130,512,677,-5.676470588,32.55882353,9.058823529,15.05882353,19.91176471,6.5,3.823529412
9,American,30,10,20,0.333,-8.56,-2.53,5,9,7,6,3,14,1735,1916,,616,1491,0.413,177,489,0.362,326,460,0.709,270,973,348,101,75,364,431,-6.033333333,32.43333333,11.6,12.13333333,14.36666667,3.366666667,2.5
10,Appalachian State,31,15,16,0.484,-7.91,-5.77,10,8,10,4,4,11,2211,2221,,777,1781,0.436,201,560,0.359,456,662,0.689,352,1098,356,212,119,420,575,-0.322580645,35.41935484,11.48387097,13.5483871,18.5483871,6.838709677,3.838709677
11,Arizona State,35,22,13,0.629,8.86,4.6,9,9,16,4,4,7,2512,2363,,902,1964,0.459,250,722,0.346,458,706,0.649,338,1261,497,222,211,445,553,4.257142857,36.02857143,14.2,12.71428571,15.8,6.342857143,6.028571429
12,Arizona,35,27,8,0.771,17.3,7.47,12,6,14,2,7,4,2570,2226,,880,1933,0.455,269,725,0.371,541,722,0.749,393,1276,476,234,134,458,584,9.828571429,36.45714286,13.6,13.08571429,16.68571429,6.685714286,3.828571429
13,Arkansas-Little Rock,32,17,15,0.531,-4.36,-2.23,11,9,13,3,3,10,2127,2132,,732,1736,0.422,162,481,0.337,501,741,0.676,361,1097,372,215,121,488,632,-0.15625,34.28125,11.625,15.25,19.75,6.71875,3.78125
14,Arkansas-Pine Bluff,30,16,14,0.533,-12.13,-8.2,15,3,9,0,6,12,1880,1998,,683,1707,0.4,159,526,0.302,355,563,0.631,349,1026,382,297,99,433,533,-3.933333333,34.2,12.73333333,14.43333333,17.76666667,9.9,3.3
