6-32,0.818648755433
6-33,0.810746740419
6-36,0.795930462268
6-34,0.790399051758
6-35,0.786250493876
6-37,0.781509284868
32-33,0.780958060028
6-38,0.779632556302
6,0.766594231529
5-6,0.766495456341
6-18,0.762939549585
6-24,0.762939549585
6-21,0.76274199921
32-36,0.760683760684
32-35,0.759093619559
32-38,0.754621347645
32-34,0.754124428543
5-37,0.753951007507
5-24,0.752864480443
5-38,0.752765705255
5,0.752074278941
5-18,0.751876728566
5-21,0.751481627815
5-36,0.751382852627
32-37,0.750546611012
5-34,0.749308573686
5-35,0.748913472936
5-33,0.74832082181
32,0.735241502683
5-32,0.733504543659
24-32,0.733306993283
18-32,0.732516791782
21-32,0.732516791782
33-35,0.685697352825
18,0.66594231529
33-34,0.664559462663
34-35,0.663769261162
33-36,0.662386408534
18-21,0.660312129593
18-24,0.659126827341
34-38,0.658830501778
35-38,0.657250098775
34-36,0.653496641644
33-37,0.635519557487
34-37,0.63453180561
35-37,0.632358751482
35-36,0.62732121691
36-38,0.624654286843
18-38,0.623864085342
33-38,0.622580007902
18-35,0.621888581588
18-34,0.618332674832
24-34,0.618332674832
21,0.615270644014
34,0.614480442513
21-34,0.61418411695
36-37,0.613196365073
21-24,0.612603713947
21-38,0.61122086132
21-35,0.61122086132
35,0.610628210194
18-37,0.609245357566
24-35,0.606874753062
37-38,0.605096799684
18-33,0.603516396681
24-33,0.601047016989
21-33,0.600849466614
24-38,0.598281311734
33,0.597787435796
18-36,0.588502568155
21-37,0.58741604109
24,0.586625839589
38,0.585440537337
21-36,0.573883840379
24-36,0.572007111814
24-37,0.570920584749
36,0.561240616357
37,0.556795732912
